number,name,author,copyright,copydate,lyrics
490,To Be Like You,"Matt Crocker, Brooke Ligertwood",Hillsong Music,2012,"Verse 1:
Humble King, Holy One
Friend of sinners, God's own Son
God in flesh among men
You walked my road, You understand

Verse 2:
Servant King, friend to me
You saved my soul, washed my feet
Here I'll bow, give all to You
Lord I want to be like You

Chorus:
All I want, all I need
More of You, less of me
Take this life, Lord it's Yours
Have my heart, have it all

Verse 3:
I will walk in Your ways
Love Your word, seek Your face
My reward, my sole pursuit
To know You more, to be like You

Bridge:
Jesus, Jesus
All I want is to be like You
Jesus, Jesus
All I want is to be like You"
491,You Hold Me Now,Hillsongs United,HillSongs United,2011,"Verse 1:
On that day when I see 
All that You have for me 
When I see You face to face 
There surrounded by Your grace 
All my fears swept away 
In the light of Your embrace 
Where Your love is all I need 
And forever I am free 

Pre-Chorus:
Where the streets are made of gold 
In Your presence healed and whole 
Let the songs of heaven rise to You alone 

Chorus:
No weeping no hurt or pain 
No suffering You hold me now You hold me now 
No darkness no sick or lame 
No hiding You hold me now You hold me now 

Verse 2:
In this life I will stand 
Through my joy and my pain 
Knowing there's a greater day 
There's a hope that never fails 
Where Your Name is lifted high 
And forever praises rise 
For the glory of Your Name 
I'm believing for the day 

Pre-Chorus 2:
Where the wars and violence cease 
All creation lives in peace 
Let the songs of heaven 
Rise to You alone 

Bridge:
For eternity
All my heart will give
All the glory to Your Name"
492,Glory,Phil Wickham,Seems Like Music (BMI) / Phil Wickham Music (BMI) ,2013,"Verse 1:
The mountains standing in Your strength
The oceans roaring out Your praise
All creation glorifies Your name

Verse 2:
The angels bow before Your throne
The heavens shine for You alone
All creation glorifies Your name
All creation glorifies Your name

Chorus:
Singing,
Holy, Holy, Holy is the Lord
Almighty, Worthy, All the earth is filled
With Your glory, glory
We give You glory, glory

Verse 3:
In Your hand You hold the universe
At Your feet the nations of the earth
All creation glorifies Your name
All creation glorifies Your name

Bridge:
Blessing honor
Glory power
All our praise is
Yours forever (x2)"
493,Brokeness Aside,All Sons and Daughters,Integrity Music,2013,"Verse 1:
Will your grace run out
If I let you down 
Cause all I know
Is how to run

Chorus:
Cause I am a sinner 
If its not one thing its another
Caught up in words 
Tangled in lies
You are the Savior 
And you take brokenness aside
And make it beautiful 
Beautiful 

Verse 2:
Will you call me child
When I tell you lies 
Cause all I know 
Is how to cry 

Bridge: 
You make it beautiful
You make it beautiful"
494,Even So Come,"Chris Tomlin, Jason Ingram, Jess Cates",sixsteps  worshiptogether  SDG Publishing ,2015,"Verse 1:
All of creation, all of the earth
Make straight a highway, a path for the Lord
Jesus is coming soon

Verse 2:
Call back the sinner, wake up the saint
Let every nation, shout of Your fame
Jesus is coming soon

Pre-Chorus:
Like a bride waiting for her groom
We'll be a church ready for You
Every heart longing for our King
We sing

Chorus:
Even so come, Lord Jesus come
Even so come, Lord Jesus come

Verse 3:
There will be justice, all will be new
Your name forever, faithful and true
Jesus is coming soon

Bridge:
So we wait, we wait for You
God, we wait, You're coming soon"
495,At the Cross (Love Ran Red),"Chris Tomlin, Matt Redman",Shout! Music Publishing,2014,"Verse 1:
There's a place, where mercy reigns and never dies
There's a place, where streams of grace flows deep and wide

Pre-chorus:
All the love, I've ever found
Comes like a flood, comes flowing down

Chorus:
At the cross, at the cross
I surrender my life
I'm in awe of you; I'm in awe of you
Where your love ran red, and my sins washed white
I owe all to you, I owe all to you
Jesus

Verse 2:
There's a place, where sin and shame are powerless
Where my heart has peace with God, and forgiveness

Pre-chorus:
All the love, I've ever found
Comes like a flood, comes flowing down

Chorus:
At the cross, at the cross
I surrender my life
I'm in awe of you; I'm in awe of you
Where your love ran red, and my sins washed white
I owe all to you, I owe all to you
Jesus

Bridge:
Here my hope is found, here on holy ground
Here I bow down, here I bow down
Here arms open wide, here you saved my life
Here I bow down, here I bow
"
496,Scandal Of Grace,"Joel Houston, Matt Crocker",Hillsong ,,"Verse 1:
Grace what have You done
Murdered for me on that cross
Accused in absence of wrong
My sin washed away in Your blood
 
Pre-Chorus 1:
Too much to make sense of it all
I know that Your love breaks my fall
The scandal of grace
You died in my place 
So my soul will live
 
Chorus 1:
Oh to be like You
Give all I have just to know You
Jesus there's no-one beside You
Forever the hope in my heart 
 
Verse 2:
Death where is your sting
Your power is as dead as my sin
The cross has taught me to live
And mercy my heart now to sing
 
Pre-Chorus 2:
The day and its troubles shall come
I know that Your strength is enough
The scandal of grace
You died in my place
So my soul will live
 
Bridge:
And it's all because of You Jesus
It's all because of You Jesus
It's all because of Your love
"
497,Great Are You Lord,"Jason Ingram, Leslie Jordan, David Leonard",Integrity Music,,"Verse 1:
You give life, You are love
You bring light to the darkness
You give hope, You restore
Every heart that is broken
Great are You, Lord

Chorus:
It's Your breath in our lungs
So we pour out our praise
We pour out our praise
It's Your breath in our lungs
So we pour out our praise to You only

Verse 2:
You give life, You are love
You bring light to the darkness
You give hope, You restore
Every heart that is broken
Great are You, Lord

Tag:
All the earth will shout Your praise
Our hearts will cry, these bones will sing
Great are You, Lord"
498,Beautiful Things,"Lisa Gungor, Michael Gungor",worshiptogether.com songs,2009,"Verse 1:
All this pain      
I wonder if I'll ever find my way
I wonder if my life could really change at all 
 
Verse 2:
All this earth
Could all that is lost ever be found
Could a garden come up from this ground at all 
 
Chorus:
You make beautiful things
You make beautiful things out of the dust
You make beautiful things
You make beautiful things out of us
 
Verse 3:
All around
Hope is springing up from this old ground
Out of chaos life is being found in You 
 
Bridge:
You make me new 
You are making me new"
499,Holy Spirit,"Katie Torwalt, Bryan Torwalt",Jesus Culture,,"Verse 1:
There's nothing worth more, that will ever come close
No thing can compare, You're our living hope
Your Presence Lord

Verse 2:
I've tasted and seen, of the sweetest of loves
Where my heart becomes free, and my shame is undone
In Your Presence Lord
 
Chorus:
Holy Spirit You are welcome here
Come flood this place and fill the atmosphere
Your Glory God is what our hearts long for
To be overcome by Your Presence Lord

Bridge:
Let us become more aware of Your Presence
Let us experience the Glory of Your Goodness"
500,Fire Fall Down (Bridge),Hillsong,Hillsong,,"Bridge:
Your fire fall down
Fire fall down
On us we pray

Bridge:
Show me Your heart
Show me Your way
Show me Your glory"
501,Jesus Loves Me,"By Anna Bartlett Warner, William B. Bradbury",Public Domain,,"Jesus loves me this I know
For the Bible tells me so
Little ones to Him belong
They are weak but He is strong

Yes Jesus loves me 
Yes Jesus loves me
Yes Jesus loves me
The Bible tells me so

Jesus loves me when I'm good
When I do the things I should
Jesus loves me when I'm bad
Though it makes Him very sad

Jesus loves me! loves me still
Tho' I'm very weak and ill
That I might from sin be free
Bled and died upon the tree

Jesus loves me! He who died
Heaven's gate to open wide
He will wash away my sin
Let His little child come in

Jesus loves me! He will stay
Close beside me all the way
Thou hast bled and died for me
I will henceforth live for Thee

Jesus loves the children dear
Children far away or near
They are safe when in His care
Ev'ry day and ev'rywhere

Jesus take this heart of mine
Make it pure and wholly Thine
Thou has bled and died for me
I will henceforth live for Thee"
502,Build Your Kingdom Here,Rend Collective Experiment,Thankyou Music,2011,"Verse 1:
Come, set Your rule and reign
In our hearts again
Increase in us we pray
Unveil why we're made

Verse 2:
Come, set our hearts ablaze with hope
Like wildfire in our very souls
Holy Spirit come invade us now

Pre 1:
We are Your church
We need Your power in us

Verse 3:
We seek Your kingdom first
We hunger and we thirst
Refuse to waste our lives
For You're our joy and prize

Verse 4:
To see the captive hearts released
The hurt, the sick, the poor at peace
We lay down our lives for heaven's cause

Pre 2:
We are Your church
We pray revive this earth

Chorus:
Build Your kingdom here
Let the darkness fear
Show Your mighty hand
Heal our streets and land

Chorus 2:
Set Your church on fire
Win this nation back
Change the atmosphere
Build Your kingdom here
We pray

Verse 5:
Unleash Your kingdoms power
Reaching the near and far
No force of hell can stop
Your beauty changing hearts

Verse 6:
You made us for much more than this
Awake the kingdom seed in us
Fill us with the strength and love of Christ

Pre 3:
We are Your church
We are the hope on earth"
503,Devotion,Marty Sampson,2006 Hillsong Music,,"I've been running, trying to be one who sees
I've been working, salvation out on my knees
There is nothing better than knowing
We are redeemed
I'm believing, trusting in creative hands,
I am praying for our world to bow to Your plan
And this one thought is unmistakable
To take up my cross and follow You, Lord

When You stand, the tall tress and mountains bow
When You speak, the fiercest of oceans is still
And I see the sinner seek devotion
The lost become chosen, and I fall to my knees

I'm forgiven by a Saviour who did not deserve death
He was blameless and I was lost in shamefulness
I'm delivered, but it doesn't seem right
Unless I keep my eyes focused on the Saviour who gave His life
In the middle of a world that denies it believes
It is breaking apart at the very seams
There is one thing to be alive for
And it's to take up my cross and follow You, Lord

When You stand, the tall trees and mountains bow
When You speak, the fiercest of oceans is still
And I see the sinner seek devotion
The lost become chosen, and I fall to my knees

I will take up my cross and follow, Lord where You lead me
And I will take up my cross and follow wherever You go

When You stand, the tall trees and mountains bow
When You speak, the fiercest of oceans is still
And I see the sinner seek devotion
The lost become chosen, and I fall to my knees

Fall to my knees"
504,Because of Who You Are,Martha Munizzi,Martha Munizzi Music,2000,"Verse:
Because of who You are I give You glory
Because of who You are I give You praise
Because of who You are I will lift my voice and say
Lord, I worship You because of who You are
Lord, I worship You because of who You are

Chorus:
Jehovah Jireh, my Provider
Jehovah Nissi, Lord You reign in victory
Jehovah Shalom, my Prince of Peace
And I worship You because of who You are
I worship You because of who You are"
505,No Other Name (Praise the name),"Doug Engquist, Freddy Rodriguez, Laurie Engquist",Integrity's Hosanna! Music,2007,"Verse:
Praise the Name above all names
The one who reigns forever
Still the same
Praise the name
Jesus name above all names
The one who reigns forever
Still the same
Praise the name

Chorus:
No other name that's higher
No other name that's stronger
No other name forever I will praise the name
No other name can heal us
No other name can free us
No other name so precious
Praise the name

Bridge:
Every nation - all creation - we proclaim your name
Every nation - all creation - we proclaim your name
Jesus, Jesus, Jesus, no sweeter name
Jesus, Jesus, Jesus, no sweeter name
"
506,Good Good Father,"Anthony Brown, Pat Barrett",Capitol CMGCommon HymnalHousefiressixsteps,2014,"Verse 1:
Oh, I've heard a thousand stories 
Of what they think You're like
But, I've heard the tender whisper 
Of love in the dead of night
And You tell me that You're pleased
And that I'm never alone

Chorus:
You're a good, good Father
It's who You are, it's who You are
It's who You are
And I'm loved by You
It's who I am, it's who I am
It's who I am

Verse 2:
Oh, and I've seen many searching 
For answers far and wide
But I know we're all searching
For answers only You provide
'Cause You know just what we need
Before we, say a word

Bridge (x2):
You are perfect in all of your ways
You are perfect in all of your ways
You are perfect in all of Your ways to us
 
Verse 3:
Oh, this love so undeniable
I, I can hardly speak
Peace so unexplainable
I, I can hardly think
As You call me deeper still
As You call me deeper still
As You call me deeper still
Into love, love, love
"
507,Running in Circles,Will Reagan,Capitol CMG Genesis,2008,"Verse:
I'm so forgetful
But You always remind me
You're the only one who 
Brings me peace

Pre-Chorus:
So I come, Lord, I come
I come, Lord I come

Chorus:
To tell You I love You
To tell You I need You
To tell You there's no better place for me
Than in Your arms
To tell You I'm sorry for 
Running in circles
For placing my focus on the waves
Not on Your face
You're the only one who 
Brings me peace
You're the only one who
Brings me peace
"
508,Made For You,Matt Gilman,2008 Forerunner Music,5-Aug-08,"Verse:
I will abide in You
Oh come abide in me
For without You, I can do nothing
For without You, I can do nothing

Chorus:
To walk in the cool of the day with You
To gaze on the beauty of all You do
To meditate on Your glorious splendor
I was made for You

Verse 2:
On You I meditate
And pray both night and day
Oh Lord that I could be with You where You are
Oh Lord that I could be with You where You are

Bridge (part 1):
To be called a lover of God
To speak face to face
To know all Your thoughts

Bridge (part 2):
To abide in Your love
In Your love in me
To keep your commands
That I may be filled with joy"
509,One Desire,Joel Houston,Integrity's Hosanna! Music,1989,"You gave it all for me
My soul desire my everything
All I am is devoted to You

How could I fail to see
You are the love that rescued me
All I am is devoted to You

And oh, how could I not be moved
Lord here with You
So have Your way in me
'Cause Lord there is just one thing
And that I will seek

This is my cry my one desire
Just to be where You are Lord
Now and forever it's more than a song
My one desire is to be with You
Is to be with You Jesus

The one thing, the one thing
That I ask is to be with You"
510,It's Christmas,"Chris Tomlin, Ed Cash",S.D.G.  Sixsteps  Worship Together  Alletrop,2015,"Verse 1:
Away in a manger no crib for a bed
The little Lord Jesus laid down His sweet head
The stars in the sky looked down where He lay
The little Lord Jesus asleep on the hay

Verse 2:
The cattle are lowing, the baby awakes
But little Lord Jesus, no crying He makes
I love Thee Lord Jesus! Look down from the sky
And stay by my cradle til morning is nigh

Chorus:
It's Christmas!
The angels are singing
And I know the reason
the Savior is born
It's Christmas!
The bells are ringing
And I feel like shouting 
Joy to the world!

Verse 3:
Be near me, Lord Jesus I ask Thee to stay
Close by me forever and love me I pray
Bless all the dear children in Thy tender care
And fit us for heaven to live with Thee there

Bridge:
Go tell it on the mountain
Over the hills and everywhere!
Go, tell it on the mountain that 
Jesus Christ is born!

Ending:
It's Christmas!
The angels are singing
And I know the reason
the Savior is born
It's Christmas!
The bells are ringing
And I feel like shouting 
Joy to the world!

Ending (part 2):
Joy to the world!
Joy to the world!"
511,Broken Vessels,"Joel Houston, Jonas Myrin",2014 Hillsong Music Publishing,2014 Hillsong Music ,"Verse 1:
All these pieces
Broken and scattered
In mercy gathered
Mended and whole
Empty handed
But not forsaken
I've been set free
I've been set free 

Pre-Chorus 1:
Amazing grace
How sweet the sound
That saved a wretch like me
I once was lost
But now I am found
Was blind but now I see

Chorus:
Oh I can see You now 
Oh I can see the love in Your eyes
Laying Yourself down 
Raising up the broken to life

Verse 2:
You take our failure
You take our weakness
You set Your treasure
In jars of clay
So take this heart, Lord
I'll be Your vessel
The world to see Your life in me

Pre-Chorus 2:
Amazing grace
How sweet the sound
That saved a wretch like me
I once was lost
But now I am found
Was blind but now I see"
512,To God Be the Glory,"Fanny Crosby, W. Howard Doane",Public Domain,1875,"Verse 1:
To God be the glory, great things he has done;
so loved he the world that he gave us his Son,
who yielded his life an atonement for sin,
and opened the lifegate that we may go in.

Refrain:
Praise the Lord, praise the Lord; let the earth hear his voice!
Praise the Lord, praise the Lord; let the people rejoice!
O come to the Father through Jesus the Son,
and give him the glory; great things he has done.

Verse 2:
O perfect redemption, the purchase of blood,
to every believer the promise of God;
the vilest offender who truly believes,
that moment from Jesus a pardon receives. Refrain

Verse 3:
Great things he has taught us, great things he has done,
and great our rejoicing through Jesus the Son;
but purer and higher and greater will be
our wonder, our gladness, when Jesus we see. Refrain "
513,Endless Light,Hillsongs,Hillsongs,2012,"Verse 1:
From the highest throne 
To the earth below
You laid down Your life
For the likes of us
Great is the love of the Saviour

Verse 2:
From the wounded heart
To a life made whole
Every human heart
Will declare as one
Great is the love of the Saviour

Chorus:
Lord of endless light
Let Your glory shine forever
All the earth All the earth
Sing Your Praise

Hope of every heart
Let Your name be lifted higher
All our hearts All our hearts
Sing Your Praise

Verse 3:
From the mountain heights
To the valleys low
All created things
Given life to show
Jesus we live for Your glory

Verse 4:
From the rising sun
To the still of night
Every waking moment
For Your delight
Jesus we live for Your glory

Bridge:
God be exalted
God be exalted
In everything
We live for Your glory
Live for Your glory 
"
514,This I Believe (The Creed),"Ben Fielding, Matt Crocker",Hillsong Music Publishing,2014,"Verse 1:
Our Father everlasting, The all creating One
God Almighty
Through Your Holy Spirit, conceiving Christ the Son
Jesus our Savior

Chorus:
I believe in God our Father, I believe in Christ the Son
I believe in the Holy Spirit, our God is three in one
I believe in the resurrection, that we will rise again
For I believe in the name of Jesus

Verse 2:
Our Judge and our Defender, suffered and crucified
Forgiveness is in You
Descended into darkness, You rose in glorious life
Forever seated high

Bridge:
I believe in You
I believe You rose again
I believe that Jesus Christ is Lord

Chorus 2:
I believe in life eternal, I believe in the virgin birth
I believe in the saints' communion, and in Your holy Church
I believe in the resurrection, when Jesus comes again
For I believe in the name of Jesus

Ending:
For I believe in the name of Jesus"
515,You Paid It All,Anna Jones and Steven James,Pending,16-Nov-12,"Verse 1:
Standing here longing just to say
That I need You, Lord
More and more each day

Verse 2:
I've come to the end of all I am
I put my life, Oh Lord
Back in Your hand

Pre-Chorus:
I'm in need of all You are
And everything that You have promised
And I'm in need of peace and freedom
From the One who paid for me

Chorus:
For my peace, You paid it all
For my strength, You paid it all
For my joy, You paid it all
For my life, You paid it all

Verse 3:
I'm trusting You 
With more than my eyes can see
From the God who created life
Then breathed it into me

Verse 4:
Unlock that blessings
That the world can see
You're the God whose hand is on me
"
516,O Church Arise,"Keith Getty, Stuart Townend",Thankyou Music,2005,"Verse 1:
O church, arise and put your armor on;
Hear the call of Christ our captain;
For now the weak can say that they are strong
In the strength that God has given.
With shield of faith and belt of truth
We'll stand against the devil's lies;
An army bold whose battle cry is &quot;Love!&quot;
Reaching out to those in darkness.

Verse 2:
Our call to war, to love the captive soul,
But to rage against the captor;
And with the sword that makes the wounded whole
We will fight with faith and valor.
When faced with trials on ev'ry side,
We know the outcome is secure,
And Christ will have the prize for which He died—
An inheritance of nations.

Verse 3:
Come, see the cross where love and mercy meet,
As the Son of God is stricken;
Then see His foes lie crushed beneath His feet,
For the Conqueror has risen!
And as the stone is rolled away,
And Christ emerges from the grave,
This vict'ry march continues till the day
Ev'ry eye and heart shall see Him. 

Verse 4:
So Spirit, come, put strength in ev'ry stride,
Give grace for ev'ry hurdle,
That we may run with faith to win the prize
Of a servant good and faithful.
As saints of old still line the way,
Retelling triumphs of His grace,
We hear their calls and hunger for the day
When, with Christ, we stand in glory.
"
517,And Can It Be (That I Should Gain),Charles Wesley,Psalms and Hymns,1738,"Verse 1:
And can it be, that I should gain
An interest in the Savior's blood?
Died He for me, who caused His pain
For me, who Him to death pursued

Verse 1b:
Amazing love! How can it be
That Thou, my God, shouldst die for me?
Amazing love! How can it be
That Thou, my God, shouldst die for me?

Verse 2:
He left His Father's throne a - bove
So free, so infinite His grace
Emptied Himself of all but love,
And bled for Adam's helpless race:

Verse 2b:
Tis mercy all, immense and free,
For O my God, it found out me!
Amazing love! How can it be
That Thou, my God, shouldst die for me?

Verse 4:
No condemnation now I dread;
Jesus, and all in Him, is mine!
Alive in Him, my living Head,
And clothed in righteousness divine,

Verse 4b: 
Bold I approach th'eternal throne,
And claim the crown, through Christ my own.
Amazing love! How can it be
That Thou, my God, shouldst die for me?
"
518,Here Is Love,Matt Redman,Sparrow Records/sixstepsmusic,2004,"Verse 1:
Here is love, vast as the ocean
Lovingkindness as the flood
When the Price of Life, our ransom
Shed for us His precious blood

Chorus 1:
Who His love will not remember?
Who can cease to sing His praise?
He can never be forgotten
Throughout heaven's eternal days

Verse 2:
On the mount of crucifixion
Fountains opened deep and wide
Through the floodgates of God's mercy
Flowed a vast and gracious tide

Chorus 2:
Grace and love, like mighty rivers
Poured incessant from above
And heaven's peace and perfect justice
Kissed a guilty world in love

Verse 3:
Let me all Thy love accepting
Love Thee, ever all my day
Let me seek Thy kingdom only
And my life be to Thy praise

Chorus 3:
Thou alone shall be my glory
Nothing in the world I see
Thou has cleansed and sanctified me
Thou Thyself hast set me free

Bridge:
No love is higher, no love is wider
No love is deeper, no love is truer

"
519,You Have Won Me,"Brian Johnson, Jeremy Riddle, Joel Taylor",Bethel Music Publishing (ASCAP),2011,"VERSE 1:
Grace, You've shown me grace
You've lifted my shame
Drawn me with loving kindness
Washed whiter than snow
You have redeemed and made me whole

CHORUS:
Jesus, You have won me
You have broken every Chain with love and mercy
You have triumphed over Death and You are worthy
Of glory and praise

VERSE 2:
Love, You've shown me love
By leaving Your throne
By bleeding and dying on a cross
That wonderful cross
That took all my guilt and sin away

BRIDGE:
Shout it out and lift up one voice in worship
Sing it out until all the earth can hear it
Jesus is alive and He saves, He rescues and saves"
520,Lord You Are Always Here With Me,Livets Ords,Livets Ords,2002,"Verse:
When  troubles come I trust in You
For I know You will lead me through
And I know You are faithful
Until the end

Verse 2:
And when the storms are drawing near
When I'm with You, I don't have to
fear
You're my shepherd on whom I can depend

Pre-Chorus:
Through the day
Through the night
I know You're always by my side

Chorus:
Lord You are always here with me
There is no changing God in Thee
You are the same yesterday
And today and forevermore                  

Chorus 2:
Here on your promises I stand
You hold my future in Your hand
My solid rock, Almighty God
I worship You"
521,You Make Me Brave,Amanda Cook,© 2013 Bethel Music Publishing. All Rights RBethel,2013,"Verse 1: 
I stand before You now
The greatness of Your renown
I have heard of the majesty and wonder of You
King of Heaven in humility I bow


Chorus:
As Your love, in wave after wave
Crashes over me, crashes over me
For You are for us, You are not against us
Champion of Heaven
You made a way for all to enter in (to Your love) 


Verse 2:
I have heard You calling my name
I have heard the song of love that You sing
So I will let you draw me out beyond the shore
Into Your grace


Bridge:
You make me brave, You make me brave
You call me out beyond the shore into the waves
You make me brave, You make me brave
No fear can hinder now the Love that made a way


Bridge 2:
You make me brave, You make me brave
You call me out beyond the shore into the waves
You make me brave, You make me brave
No fear can hinder now the promises You've made"
522,I Love Your Presence,"Darren Clarke, Jessie (Lane) Clarke ",© 1999 Mercy / Vineyard Publishing (Admin. by Vine,1999,"Verse 1:
In the glory
Of your presence
I find rest
For my soul

In the depths
Of your love
I find peace
Makes me whole


Chorus:
I love I love I love your presence
I love I love I love your presence
I love I love I love you Jesus
I love I love I love your presence


Tag:
If you want it come and get it
For cryin' out loud
This love that he has given you
Was never in doubt
Let go of your heart let go of your head
And feel it now"
523,I've Got the Joy,George Willis Cooke,George Willis Cooke,1900,"Verse 1 (Part 1):
I've got the joy, joy, joy, joy
Down in my heart (Where?)
Down in my heart (Where?)
Down in my heart

Verse 1 (Part 2):
I've got the joy, joy, joy, joy
Down in my heart
Down in my heart to stay

Chorus (Part 1):
And I'm so happy
So very happy
I have the love of Jesus in my heart (down in my heart)

Chorus (Part 2):
And I'm so happy
So very happy
I have the love of Jesus in my heart

Verse 2 (Part 1):
I've got the peace that passes understanding
Down in my heart (Where?)
Down in my heart (Where?)
Down in my heart

Verse 2 (Part 2):
I've got the peace that passes understanding
Down in my heart
Down in my heart to stay

Verse 3 (Part 1):
I've got the love of Jesus, love of Jesus
Down in my heart (Where?)
Down in my heart (Where?)
Down in my heart

Verse 3 (Part 2):
I've got the love of Jesus, love of Jesus
Down in my heart
Down in my heart to stay

Verse 4 (Part 1):
I've got the wonderful love of my blessed redeemer
Way down in the depths of my heart (Where?)
Way down in the depths of my heart (Where?)
Way down in the depths of my heart

Verse 4 (Part 2):
I've got the wonderful love of my blessed redeemer
Way down in the depths of my heart
Way down in the depths of my heart to stay

Verse 5 (Part 1):
And if the devil doesn't like it
He can sit on a tack (Ouch!)
Sit on a tack (Ouch!)
Sit on a tack

Verse 5 (Part 2):
And if the devil doesn't like it
He can sit on a tack
Sit on a tack to stay"
524,No Longer Slaves,"Brian Johnson, Jonathan David Helser, Joel Case",Bethel Music Publishing,2014,"VERSE 1:
You unravel me, with a melody
You surround me with a song
Of deliverance, from my enemies
Till all my fears are gone

CHORUS:
I'm no longer a slave to fear
I am a child of God

VERSE 2:
From my Mothers womb
You have chosen me
Love has called my name
I've been born again, into your family
Your blood flows through my veins

BRIDGE a:
I am surrounded
By the arms of the father
I am surrounded
By songs of deliverance

BRIDGE b:

We've been liberated
From our bondage
We're the sons and the daughters
Let us sing our freedom

BRIDGE c:
You split the sea, so I could walk right through it
All my fears were drowned in perfect love 
You rescued me, so I could stand and sing 
I am a child of God"
525,What a Friend We Have in Jesus,Joseph M. Scriven,Public Domain,1855,"Verse 1 (Part 1):
What a friend we have in Jesus,
All our sins and griefs to bear!
What a privilege to carry
Everything to God in prayer!

Verse 1 (Part 2):
Oh, what peace we often forfeit,
Oh, what needless pain we bear,
All because we do not carry
Everything to God in prayer!

Verse 2 (Part 1):
Have we trials and temptations?
Is there trouble anywhere?
We should never be discouraged—
Take it to the Lord in prayer.

Verse 2 (Part 2):
Can we find a friend so faithful,
Who will all our sorrows share?
Jesus knows our every weakness;
Take it to the Lord in prayer.

Verse 3 (Part 1):
Are we weak and heavy-laden,
Cumbered with a load of care?
Precious Savior, still our refuge—
Take it to the Lord in prayer.

Verse 3 (Part 2):
Do thy friends despise, forsake thee?
Take it to the Lord in prayer!
In His arms He'll take and shield thee,
Thou wilt find a solace there."
526,All the Poor and Powerless,"David Leonard, Leslie Jordan",Integrity's Alleluia! / Integrity's Praise!,2011,"Verse 1: 
All the poor and powerless
And all the lost and lonely
All the thieves will come confess
And know that You are holy
Will know that You are holy

Chorus:
And all will sing out
Hallelujah
And we will cry out
Hallelujah

Verse 2:
And all the hearts that are content
And all who feel unworthy
And all who hurt with nothing left
Will know that You are holy

Bridge:
Shout it
Go on and scream it from the mountains
Go on and tell it to the masses
That He is God

Chorus 2:
We will sing out
Hallelujah
And we will cry out
Hallelujah, God"
527,Everything and Nothing Less,Chris McClarney,Thankyou Music (PRS) / Aaron Ivey Designee / worsh,2014,"Verse 1:
Humbly I stand, an offering
With open hands, Lord I bring

PreChorus:
Everything and nothing less
My best, my all
You deserve my every breath
My life, my song

Chorus:
I surrender, I surrender all
Oh, I surrender, I surrender all

Verse 2:
Lord take control, I trust You
I'm letting go, to give You

PreChorus:
Everything and nothing less
My best, my all
You deserve my every breath
My life, my song

Chorus: 
I surrender, I surrender all
Oh, I surrender, I surrender all

Bridge (Part 1):
Everything and nothing less, I give You
Everything and nothing less forever

Bridge (Part 2):
Everything and nothing less
Oh, my life is Yours
Yours, Oh!

Chorus: 
I surrender, I surrender all
Oh, I surrender, I surrender all

PreChorus:
Everything and nothing less
My best, my all
You deserve my every breath
My life, my song

Chorus: 
I surrender, I surrender all
Oh, I surrender, I surrender all
"
528,Days of Elijah, DONNIE MCCLURKIN,Song Solutions Daybreak,1996,"Verse 1:
These are the days of Elijah
Declaring the word of the Lord
And these are the days of Your servant, Moses
Righteousness being restored

Verse 2:
These are the days of great trials
Of famine and darkness and sword
Still we are the voice in the desert crying
Prepare ye the way of the Lord!

Chorus:
Behold He comes, 
Riding on the clouds
Shining like the sun
At the trumpet's call

Chorus 2:
Lift your voice
It's the year of Jubilee
Out of Zion's hill salvation comes

Verse 3:
And these are the days of Ezekiel
The dry bones becoming as flesh
And these are the days of Your servant, David
Rebuilding the temple of praise

Verse 4:
And these are the days of the harvest
The fields are all white in the world
And we are the laborers in Your vineyard
Declaring the Word of the Lord

Bridge:
There's no God like Jehovah
There's no God like Jehovah
There's no God like Jehovah
There's no God like Jehovah
"
529,King Of My Heart,John Mark Mcmillan,eaux Jeaux Music (Admin. by Capitol CMG Publishing,2015,"Verse 1:
Let the King of my heart be 
The mountain when I run
The fountain I drink from; Oh
He is my song
Let the King of my heart be 
The shadow where I hide
The ransom for my life; oh
He is my song

Chorus:
You are good good, Oh   
You are good, good Oh   

Verse 2:
Let the King of my heart be
The wind inside my sails
The anchor in the waves; Oh
He is my song
Let the King of my heart be 
The fire inside my veins
And the echo of my days; Oh
He is my song

Bridge 1:
You're never gonna let
Never gonna let me down
You're never gonna let
Never gonna let me down
You're never gonna let,
Never gonna let me down
You're never gonna let
Never gonna let me down


Bridge 2:
You're never gonna let,
Never gonna let me down"
530,I Will Exalt,Amanda Cook / Bethel,2010 Bethel Music Publishing,2010,"Verse 1:
Your Presence is all I need
It's all I want, all I seek
Without it, without it there's no meaning

Your Presence is the air I breathe
The song I sing, the love I need
Without it, without it I'm not living

Chorus:
I will exalt You, Lord, I will exalt You, Lord
There is no one like You God

I will exalt You, Lord, I will exalt You, Lord
No other name be lifted high

Bridge:
There will be no one like You
And no one beside You
You alone are worthy of all praise

"
