number,name,author,copyright,copydate,lyrics
38,Have You Seen Jesus My Lord,John Fischer,Songs and Creation,1970,"Chorus:
Have you seen Jesus my Lord?
He's here in plain view
Take a look, open your eyes
He'll show it to you

Verse 1:
Have you ever looked at the sunset
With the sky mellowing red?
And the clouds suspended like feathers?
Then I say, you've seen Jesus my Lord

Verse 2:
Have you ever stood at the ocean
With the waves there at your feet?
Felt the endless thundering motion?
Then I say, you've seen Jesus my Lord

Verse 3:
Have you ever looked at the cross
With a Man hanging in pain?
And the look of love in his eyes?
Then I say, you've seen Jesus my Lord

Verse 4:
Have you ever stood in the family
With the Lord there in your midst?
Seen the face of Christ on your brothers?
Then I say, you've seen Jesus my Lord"
39,He Is Able,"Greg Ferguson, Rory Noland",Maranatha,1989,"Verse:
He is able, more than able
To accomplish what concerns me today
He is able, more than able
To handle anything that comes my way
He is able, more than able
To do much more than I could ever dream
He is able, more than able
To make me what He wants me to be"
40,Hear Our Praises,Reuben Morgan,Hillsong,1998,"Verse 1:
May our homes be filled with dancing
May our streets be filled with joy
May injustice bow to Jesus
As the people turn and pray

Chorus:
From the mountain to the valley
Hear our praises rise to You
From the heavens to the nations
Hear our singing fill the air

Verse 2:
May our light shine in the darkness
As we walk before the cross
May Your glory fill the whole earth
As the water o'er the seas

Bridge:
Hallelujah, Hallelujah
Hallelujah, Hallelujah"
41,Heart Of Worship,Matt Redman,Kingsway's Thankyou,1997,"Verse 1:
When the music fades
And all is stripped away
I simply come
Longing just to bring
Something that's of worth
That will bless Your heart

Pre-Chorus:
I'll bring You more than a song
For a song in itself
Is not what You have required
You search much deeper within
Through the way things appear
You're looking into my heart

Chorus:
I'm coming back to the heart of worship
And it's all about You
It's all about You Jesus
I'm sorry Lord for the thing I've made it
When it's all about You
It's all about You Jesus

Verse 2:
King of endless worth
No one could express
How much you deserve
Though I'm weak and poor
All I have is Yours
Every single breath"
42,Heaven Awaits Me,Wonni Song,No Copyright Information,,"Verse 1:
Lord how could it be?
Who could believe that You love someone like me?
But You have conquered the tomb
And prepared a room for me eternally

Verse 2:
The heavens above cannot hold You
How much less this temple I've built within my soul
Yet more and more I see
You love me for not what I do, but who I know

Verse 3:
Lord where would I go?
Who would I be if You had not captured me?
Until Your Kingdom comes and Your will be done
I want to live faithfully for I know

Chorus:
Heaven awaits me Hallelujah
Heaven awaits me Praise be to God
Jesus awaits me"
43,Here I Am To Worship (Light Of The World),Tim Hughes,Kingsway's Thankyou,2000,"Verse 1:
Light of the world
You stepped down into darkness
Opened my eyes, let me see
Beauty that made this heart adore You
Hope of a life spent with You

Chorus:
So here I am to worship
Here I am to bow down
Here I am to say that You're my God
You're all together lovely
All together worthy
All together wonderful to me

Verse 2:
King of all days, oh so highly exalted
Glorious in heaven above
Humbly You came
To the earth You created
All for love's sake became poor

Bridge:
I'll never know how much it cost
To see my sin upon that cross"
44,Hide Me In The Shelter,"Scott Brenner, Cheryl Thomas",Mercy/Vineyard,1994,"Verse:
Under the shadow of Your wings
Here in the secret place of Your holiness
I will wait on You, O Lord, my God and King
Here in the Holiest of all
You draw me near with love to abandon all
For the sake of knowing You, my God and King

Chorus:
Hide me in the shelter of Your love
Deep in the center of Your heart, my Lord
How I want to know You more
And keep me in the shadow of Your wings
Safe in the secret place of Holiness
How I need You more and more
(and more and more)

Bridge:
Hide me, and keep me, O Lord
Safe in the secret place, safe in the secret place
Hide me, and keep me, O Lord
Safe in the secret place, safe in the secret place"
45,His Banner Over Me,Kevin Prosch,Mercy/Vineyard,1991,"Verse 1:
He brought me to His banqueting table
He brought me to His banqueting table
He brought me to His banqueting table
He brought me to His banqueting table
And His banner, over me, is love

Verse 2:
I am my Beloved's and He is mine
I am my Beloved's and He is mine
I am my Beloved's and He is mine
I am my Beloved's and He is mine
And His banner, over me, is love

Chorus:
And we can feel the love of God in this place
We believe Your goodness we receive Your grace
We delight ourselves at Your table oh God
You do all things well just look at our lives

Bridge:
His banner over me
His banner over you
His banner over us is love, love, love"
46,Take My Life (Holiness),Scott Underwood,Mercy/Vineyard,1995,"Verse 1:
Holiness, holiness is what I long for
Holiness is what I need
Holiness, holiness is what You want from me

Chorus:
So, take my heart and form it
Take my mind and transform it
Take my will and conform it
To Yours, to Yours, oh, Lord

Verse 2:
Faithfulness, faithfulness is what I long for
Faithfulness is what I need
Faithfulness, faithfulness is what You want from me

Verse 3:
Brokenness, brokenness is what I long for
Brokenness is what I need
Brokenness, brokenness is what You want from me

Verse 4:
Righteousness, righteousness is what I long for
Righteousness is what I need
Righteousness, righteousness is what You want from me"
47,Holy And Anointed One,John Barnett,Mercy,1988,"Verse 1:
Jesus, Jesus,
Holy and anointed one,
Jesus

Verse 2:
Jesus, Jesus,
Risen and exalted one,
Jesus

Chorus:
Your name is like honey on my lips,
Your spirit like water to my soul,
Your Word is a lamp unto my feet
Jesus, I love You, I love You"
